sku,nome,categoria,colecao,material,acabamento,prazo,tipo
MDH-A1-001,Suporte Headset Arc,Setup & Organização,A1 Mini Validada,PLA,Matte,24h,pronta_entrega
MDH-A1-002,Dock Controle Solo,Setup & Organização,A1 Mini Validada,PLA,Matte,24h,pronta_entrega
MDH-A1-003,Base Celular Tilt,Setup & Organização,A1 Mini Validada,PLA,Matte,24h,pronta_entrega
MDH-A1-004,Passa-Cabos Orbit,Setup & Organização,A1 Mini Validada,PETG,Standard,24h,pronta_entrega
MDH-A1-005,Organizador Desk Grid,Setup & Organização,A1 Mini Validada,PLA,Matte,1-2 dias,sob_encomenda
MDH-A1-006,Porta-Canetas Stack,Setup & Organização,A1 Mini Validada,PLA,Matte,1-2 dias,sob_encomenda
MDH-A1-007,Bandeja EDC Desk,Setup & Organização,A1 Mini Validada,PLA,Matte,1-2 dias,sob_encomenda
MDH-A1-008,Suporte Notebook Lift,Setup & Organização,A1 Mini Validada,PETG,Standard,1-2 dias,sob_encomenda
MDH-A1-009,Vaso Geo Mini,Casa & Decoração,Casa com Personalidade,PLA,Silk,24h,pronta_entrega
MDH-A1-010,Cachepot Prism,Casa & Decoração,Casa com Personalidade,PLA,Silk,24h,pronta_entrega
MDH-A1-011,Porta-Velas Halo,Casa & Decoração,Casa com Personalidade,PLA,Silk,1-2 dias,sob_encomenda
MDH-A1-012,Porta-Chaves Wall Grid,Casa & Decoração,Casa com Personalidade,PETG,Standard,1-2 dias,sob_encomenda
MDH-A1-013,Gancho Multi Hook,Utilidades Reais,Funcionais do Dia a Dia,PETG,Standard,24h,pronta_entrega
MDH-A1-014,Suporte Esponja Sink,Utilidades Reais,Funcionais do Dia a Dia,PETG,Standard,24h,pronta_entrega
MDH-A1-015,Organizador Gaveta Mini,Utilidades Reais,Funcionais do Dia a Dia,PLA,Matte,1-2 dias,sob_encomenda
MDH-A1-016,Calço Porta Quiet,Utilidades Reais,Funcionais do Dia a Dia,TPU,Standard,1-2 dias,sob_encomenda
MDH-A1-017,Nome 3D Desk,Presentes Criativos,Personalizados,PLA,Silk,24h,sob_encomenda
MDH-A1-018,Nome 3D Wall,Presentes Criativos,Personalizados,PLA,Silk,1-2 dias,sob_encomenda
MDH-A1-019,Placa Pix Premium,Presentes Criativos,Personalizados,PLA,Matte,24h,sob_encomenda
MDH-A1-020,Chaveiro Signature,Presentes Criativos,Personalizados,PLA,Standard,24h,sob_encomenda
MDH-A1-021,Topo de Bolo Layer,Presentes Criativos,Personalizados,PLA,Silk,24h,sob_encomenda
MDH-A1-022,Display QR Business,Presentes Criativos,Personalizados,PLA,Matte,1-2 dias,sob_encomenda
MDH-A1-023,Guardião Chibi,Geek & Colecionáveis Autorais,Colecionáveis,PLA,Matte,1-2 dias,sob_encomenda
MDH-A1-024,Mecha Core Mini,Geek & Colecionáveis Autorais,Colecionáveis,PLA,Matte,1-2 dias,sob_encomenda
MDH-A1-025,Ninja Desk Bust,Geek & Colecionáveis Autorais,Colecionáveis,PLA,Matte,1-2 dias,sob_encomenda
MDH-A1-026,Samurai Mask Stand,Geek & Colecionáveis Autorais,Colecionáveis,PLA,Matte,2-4 dias,sob_encomenda
MDH-A1-027,Creature Flex,Geek & Colecionáveis Autorais,Articulados,PLA,Standard,24h,pronta_entrega
MDH-A1-028,Dragon Flex Mini,Geek & Colecionáveis Autorais,Articulados,PLA,Standard,24h,pronta_entrega
MDH-A1-029,Serpente Flex,Geek & Colecionáveis Autorais,Articulados,PLA,Standard,1-2 dias,sob_encomenda
MDH-A1-030,Robot Dummy Desk,Geek & Colecionáveis Autorais,Articulados,PLA,Standard,1-2 dias,sob_encomenda
MDH-A1-031,Placa Gamer Neon Frame,Setup & Organização,Setup Premium,PLA,Silk,1-2 dias,sob_encomenda
MDH-A1-032,Dock Stream Deck Mini,Setup & Organização,Setup Premium,PLA,Matte,1-2 dias,sob_encomenda
MDH-A1-033,Suporte Webcam Angle,Setup & Organização,Setup Premium,PLA,Matte,24h,sob_encomenda
MDH-A1-034,Base Controle Duo,Setup & Organização,Setup Premium,PLA,Matte,1-2 dias,sob_encomenda
MDH-A1-035,Tag Pet Bone,PET / Casa,Pet,PLA,Standard,24h,sob_encomenda
MDH-A1-036,Porta-Saquinho Walk,PET / Casa,Pet,PETG,Standard,24h,sob_encomenda
MDH-A1-037,Suporte Guia Wall,PET / Casa,Pet,PETG,Standard,1-2 dias,sob_encomenda
MDH-A1-038,Plaquinha Pet Home,PET / Casa,Pet,PLA,Matte,1-2 dias,sob_encomenda
MDH-A1-039,Vela LED Shell,Casa & Decoração,Casa com Personalidade,PLA,Silk,1-2 dias,sob_encomenda
MDH-A1-040,Luminária Orb Mini,Casa & Decoração,Casa com Personalidade,PLA,Silk,2-4 dias,sob_encomenda
MDH-A1-041,Escultura Spiral Mini,Casa & Decoração,Casa com Personalidade,PLA,Silk,2-4 dias,sob_encomenda
MDH-A1-042,Busto Hero Autoral,Geek & Colecionáveis Autorais,Colecionáveis,PLA,Matte,2-4 dias,sob_encomenda
MDH-A1-043,Brinde Corporativo Mini,Presentes Criativos,Personalizados,PLA,Standard,2-4 dias,sob_encomenda
MDH-A1-044,Troféu Layer Award,Presentes Criativos,Personalizados,PLA,Silk,2-4 dias,sob_encomenda
MDH-A1-045,Peça Sob Medida Compact,Sob Encomenda,Projetos Específicos,PLA,Conforme briefing,2-4 dias,sob_encomenda
MDH-A1-046,Peça Sob Medida Funcional,Sob Encomenda,Projetos Específicos,PETG,Conforme briefing,2-4 dias,sob_encomenda
MDH-A1-047,Reposição Plástica Técnica,Sob Encomenda,Projetos Específicos,PETG,Standard,2-4 dias,sob_encomenda
MDH-A1-048,Projeto Personalizado A1,Sob Encomenda,Projetos Específicos,Conforme briefing,Conforme briefing,2-4 dias,sob_encomenda
